confianza,id_aviso,titulo,comuna,tipo,operacion,precio_uf,precio_clp,m2_util,m2_total,dormitorios,banos,senales,url
BAJA,2070936563,"Departamento En Barrio Tranquilo, Buena Conectividad.",nunoa,departamento,arriendo,15.91,650000.0,50,50,,2,nombre_de_proyecto,https://portalinmobiliario.com/MLC-2070936563-departamento-en-barrio-tranquilo-buena-conectividad-_JM
BAJA,3873502784,Linda Casa,san-miguel,casa,venta,5100.0,208308429,80,220,,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-3873502784-linda-casa-_JM
BAJA,3308908732,Excelente Casa Quinta Avenida.,san-miguel,casa,venta,7295.91,298000000.0,145,500,,,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-3308908732-excelente-casa-quinta-avenida-_JM
BAJA,4118400922,Oportunidad Inmobiliaria Estratégica En San Miguel,san-miguel,casa,venta,7100.05,290000000.0,158,281,3,2,inmobiliaria_en_titulo,https://portalinmobiliario.com/MLC-4118400922-oportunidad-inmobiliaria-estrategica-en-san-miguel-_JM
BAJA,1876672645,Clásica Casa En Condominio A Una Cuadra De Gran Avenida,san-miguel,casa,venta,9300.0,379856547,124,276,,4,nombre_de_proyecto,https://portalinmobiliario.com/MLC-1876672645-clasica-casa-en-condominio-a-una-cuadra-de-gran-avenida-_JM
BAJA,3995227356,Oferta A Inversionistas Ideal Para Edificio En San Miguel,san-miguel,casa,venta,8324.2,340000000.0,93,568,5,1,nombre_de_proyecto,https://portalinmobiliario.com/MLC-3995227356-oferta-a-inversionistas-ideal-para-edificio-en-san-miguel-_JM
BAJA,3737950454,Sitio Urbano Con Casa Para Remodelar,san-miguel,casa,venta,11582.0,473064358,619,619,,2,nombre_de_proyecto,https://portalinmobiliario.com/MLC-3737950454-sitio-urbano-con-casa-para-remodelar-_JM
BAJA,1932613137,"Renovada, Aceptan Ofertas!",san-miguel,casa,venta,6890.0,281420603,199,300,4,2,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-1932613137-renovada-aceptan-ofertas-_JM
BAJA,3756430570,"Linda Casa Barrio, Plaza Llico",san-miguel,casa,venta,4750.0,194012752,98,200,,2,nombre_de_proyecto,https://portalinmobiliario.com/MLC-3756430570-linda-casa-barrio-plaza-llico-_JM
BAJA,4235778652,Excelente Casa Bodega.,san-miguel,casa,venta,9950.0,406405660,294,294,,5,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-4235778652-excelente-casa-bodega-_JM
BAJA,4234132882,Townhouse Nuevo De Tres Pisos En San Miguel,san-miguel,casa,venta,7400.0,302251446,109,156,,,nombre_de_proyecto,https://portalinmobiliario.com/MLC-4234132882-townhouse-nuevo-de-tres-pisos-en-san-miguel-_JM
BAJA,4210790940,Casa Con Gran Potencial,san-miguel,casa,venta,8079.37,330000000.0,135,495,,,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-4210790940-casa-con-gran-potencial-_JM
BAJA,4235672156,Amplia Propiedad Ideal Inmobiliaria O Empresa,san-miguel,casa,venta,19586.34,800000000.0,687,747,,,inmobiliaria_en_titulo,https://portalinmobiliario.com/MLC-4235672156-amplia-propiedad-ideal-inmobiliaria-o-empresa-_JM
